Beneficiary_ID,Month,Transaction_Count,Total_Amount_NGN,Avg_Monthly_Balance_NGN
BENE_00000,2020-06,7,9044.12,6335.73
BENE_00000,2022-02,3,578.01,6158.15
BENE_00000,2022-02,7,9901.92,5454.26
BENE_00000,2023-08,4,3841.76,5871.77
BENE_00000,2023-01,3,2063.58,2905.38
BENE_00000,2023-12,4,4280.54,5114.59
BENE_00000,2020-11,5,13237.91,1575.14
BENE_00000,2022-12,8,1457.01,3109.14
BENE_00000,2023-03,4,11316.97,3776.35
BENE_00000,2022-04,5,5237.72,5294.89
BENE_00000,2022-05,8,2993.79,6009.3
BENE_00001,2023-04,7,5493.56,6880.86
BENE_00001,2020-07,8,8341.36,6741.14
BENE_00001,2021-03,7,12452.38,7391.34
BENE_00001,2021-11,6,13487.41,176.71
BENE_00002,2020-09,1,12934.62,5698.76
BENE_00002,2023-01,7,4328.68,4589.24
BENE_00002,2024-12,9,2190.75,7113.24
BENE_00002,2022-04,6,8419.28,6991.57
BENE_00002,2021-06,2,9607.23,5694.42
BENE_00002,2024-10,11,4230.16,1434.33
BENE_00002,2023-07,7,3584.94,6838.48
BENE_00002,2021-12,5,11889.51,7594.35
BENE_00002,2023-04,7,5280.28,4379.07
BENE_00002,2024-04,8,13760.32,5350.25
BENE_00002,2023-05,5,5202.86,7616.49
BENE_00003,2020-04,7,9530.53,756.39
BENE_00003,2024-08,8,4807.27,2659.69
BENE_00003,2022-03,3,3834.97,903.02
BENE_00003,2021-11,3,7647.15,6763.14
BENE_00003,2021-03,7,659.04,594.18
BENE_00003,2021-09,4,13644.45,1939.71
BENE_00003,2021-12,7,5860.73,959.14
BENE_00003,2024-04,10,8893.75,253.1
BENE_00003,2020-10,6,5513.59,4064.27
BENE_00004,2024-01,3,10510.09,5246.71
BENE_00004,2024-09,9,505.88,2222.2
BENE_00004,2023-10,7,7347.78,2919.73
BENE_00004,2023-08,8,1834.42,5349.02
BENE_00004,2022-03,6,7687.25,971.68
BENE_00004,2024-04,7,3111.01,7239.85
BENE_00005,2024-12,7,13635.03,6972.16
BENE_00005,2022-01,4,1032.98,619.86
BENE_00005,2021-02,7,6209.72,4496.33
BENE_00006,2024-03,5,3695.6,420.14
BENE_00006,2021-11,10,7227.54,6843.05
BENE_00006,2022-11,5,1725.13,5923.1
BENE_00007,2021-04,11,7534.2,546.27
BENE_00007,2024-06,8,10968.98,2648.94
BENE_00007,2023-10,7,3658.26,4250.69
BENE_00007,2025-01,4,2481.06,2571.52
BENE_00007,2020-08,4,8830.72,6530.55
BENE_00007,2024-05,5,12661.81,6887.33
BENE_00007,2020-11,9,14617.14,5932.34
